ID;Description;ShortDescription
EN;Enero;Ene
FE;Febrero;Feb
MR;Marzo;Mar
AB;Abril;Abr
MY;Mayo;May
JN;Junio;Jun
JL;Julio;Jul
AG;Agosto;Ago
SP;Septiembre;Sep
OC;Octubre;Oct
NV;Noviembre;Nov
DC;Diciembre;Dic
